id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
161,Assizzi - Vignola (IT3120123),Zona Speciale di Conservazione Assizzi - Vignola,91,null,"Pergine Valsugana, Vignola-Falesina",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
162,Torbiera delle Viote (IT3120050),Zona Speciale di Conservazione Torbiera delle Viote,24,null,Grigno,null,null,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
163,Ziano,Riserva Locale Ziano,"30.51",null,"Predazzo, Ziano di Fiemme",null,www.parks.it/riserva.ziano,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
164,Monti Tremalzo e Tombea (IT3120127),Zona Speciale di Conservazione Monti Tremalzo e Tombea,"5529.00",null,"Bondone, Storo",null,www.parks.it/IT3120127,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
165,Laghetto di Gargazzone - Gargazoner Lack,Biotopo Laghetto di Gargazzone - Gargazoner Lack,"1.29",DPGP 368 17/11/1997,Gargazzone,EUAP0430,www.parks.it/biotopo.gargazzone,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
166,Laghetti di Marco (IT3120080),Zona Speciale di Conservazione Laghetti di Marco,35,null,Rovereto,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
167,Fuchswiese I e II,VR - Biotopo Fuchswiese I e II,"0.81",DPGP 311 3/03/1994,Verano,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
168,Tschiggermoor,VR - Biotopo Tschiggermoor,"0.82",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
169,Lago Pudro (IT3120040),Zona Speciale di Conservazione Lago Pudro,13,null,Pergine Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
170,Adamello (IT3120175),Zona Speciale di Conservazione Adamello,"29929.00",null,"Caderzone, Carisolo, Giustino, Massimeno, Ossana, Pelugo, Pinzolo, Porte di Rendena, Sella Giudicarie, Spiazzo, Strembo, Tione di Trento, Valdaone, Vermiglio",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
171,Brozin Maso Faoro,Riserva Locale Brozin Maso Faoro,"1.38",null,Castello-Molina di Fiemme,null,www.parks.it/riserva.brozin.maso.faoro,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
172,Lech da Laièc,VR - Biotopo Lech da Laièc,"0.9",DPGP 125 20/10/1982,Badia,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
173,I Mughi,VR - Biotopo I Mughi,21,DGP 2633 17/10/03,Pieve Tesino,EUAP0711,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
174,Schlotamoeser,VR - Biotopo Schlotamoeser,"1.22",DPGP 362/28/1 15/05/1997,San Candido,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
175,Laugen,VR - Biotopo Laugen,"2.08",DPGP 342 23/04/1995,Bressanone,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
176,Il Laghetto (IT3120085),Zona Speciale di Conservazione Il Laghetto,"7.71",null,Borgo Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
177,San Faustino,Riserva Locale San Faustino,"0.67",null,Tre Ville,null,www.parks.it/riserva.san.faustino,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
178,Brenta (IT3120159),Zona di Protezione Speciale Brenta,"29739.00",null,"Bocenago, Campodenno, Cavedago, Cles, Comano Terme, Contà, Croviana, Denno, Dimaro Folgarida, Dorsino, Malè, Massimeno, Molveno, San Lorenzo Dorsino, Spormaggiore, Sporminore, Stenico, Tre Ville, Ville d'Anaunia",null,null,"via Nazionale, 24 - 38080 Strembo (TN)",Ente Parco Naturale Adamello Brenta,TN,info@pnab.it
179,Lago di Loppio (IT3120079),Zona Speciale di Conservazione Lago di Loppio,"112.6",null,"Mori, Nago-Torbole",null,www.parks.it/IT3120079,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
180,Pra dell'Albi - Cei (IT3120081),Zona Speciale di Conservazione Pra dell'Albi - Cei,117,null,Villa Lagarina,null,www.parks.it/IT3120081,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
181,Lago di Toblino  (IT3120055),Zona Speciale di Conservazione Lago di Toblino,"169.5",null,"Madruzzo, Vallelaghi",null,www.parks.it/IT3120055,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
182,Palù della Brega,Riserva Locale Palù della Brega,"1.62",null,Varena,null,www.parks.it/riserva.palu.brega,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
183,Niedermoos,VR - Biotopo Niedermoos,"0.43",DPGP 311 3/03/1994,Meltina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
184,Prissianer Au,VR - Biotopo Prissianer Au,"7.78",DPGP 259 26/07/1991,Tesimo,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
185,Biotopo Sonnenberg Vegetazione Steppica Schlanderser Leiten (IT3110044),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Sonnenberg Vegetazione Steppica Schlanderser Leiten,25,null,Silandro / Schlanders,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
186,Lago Bianco - Weisssee,VR - Biotopo Lago Bianco - Weisssee,"2.97",DPGP 85 16/12/1980,Salorno,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
187,Widummoos,VR - Biotopo Widummoos,"2.25",DPGP 196 24/06/1987,Senale-San Felice,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
188,Parco Naturale Vedrette di Ries - Aurina (IT3110017),Zona Speciale di Conservazione e Zona di Protezione Speciale Parco Naturale Vedrette di Ries - Aurina,"31330.00",null,"Campo Tures, Gais, Perca, Predoi, Rasun Anterselva, Valle Aurina",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
189,Bus della Spia (IT3120136),Zona Speciale di Conservazione Bus della Spia,"0.6",null,Sporminore,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
190,Gardena - Valle Lunga - Puez nel Parco Naturale Puez-Odle (IT3110027),Zona Speciale di Conservazione e Zona di Protezione Speciale Gardena - Valle Lunga - Puez nel Parco Naturale Puez-Odle,"5396.00",null,"Badia, Corvara in Badia, San Martino in Badia, Santa Cristina Valgardena, Selva di Val Gardena",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
191,Doss Trento (IT3120052),Zona Speciale di Conservazione Doss Trento,16,null,Trento,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
192,Lago Costa (IT3120041),Zona Speciale di Conservazione Lago Costa,"3.83",null,Pergine Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
193,Fobbie - Laghetto della Polsa,Riserva naturale locale Fobbie - Laghetto della Polsa,"1.8",null,Brentonico,null,www.parks.it/riserva.fobbie.laghetto.polsa,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
194,Prabocolo (B),Riserva Locale Prabocolo (B),"1.63",null,Daiano,null,www.parks.it/riserva.prabocolo.B,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
195,Val Duron (IT3120119),Zona Speciale di Conservazione Val Duron,"760.94",null,Campitello di Fassa,null,www.parks.it/IT3120119,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
196,Palù Tremole,Biotopo Palu' Tremole,"3.8",DGP 16947 30/11/1992,Brez,EUAP0500,www.parks.it/biotopo.palu.tremole,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
197,Palude di Roncegno,Biotopo Palude di Roncegno,"20.5",DGP 16944 30/11/1992,Roncegno,EUAP0501,www.parks.it/biotopo.palude.roncegno,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
198,Lomasona,Riserva Locale Lomasona,9,null,Comano Terme,null,www.parks.it/riserva.lomasona,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
199,Rio dei Gamberi - Krebsbach,VR - Biotopo Rio dei Gamberi - Krebsbach,"0.36",DGP 3118 30/08/2004,Lana,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
200,Grossloch,VR - Biotopo Grossloch,"0.52",DPGP 403 21/12/1999,Egna,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
201,Vegetazione steppica Tartscher Buehel - Steppenvegetation Tartscher Bühel,VR - Biotopo Vegetazione steppica Tartscher Buehel - Steppenvegetation Tartscher Bühel,"18.6",DPGP 309 4/02/1994,Malles Venosta / Mals,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
202,Stagno Fahrer - Fahrer Weiher,VR - Biotopo Stagno Fahrer - Fahrer Weiher,"0.93",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
203,Torbiere del Lavazé (IT3120169),Zona Speciale di Conservazione Torbiere del Lavazé,"19.1",null,Varena,null,www.parks.it/IT3120169,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
204,Ontaneta di Croviana (IT3120117),Zona Speciale di Conservazione Ontaneta di Croviana,28,null,"Croviana, Dimaro Folgarida",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
205,Torbiera Egerter - Egerter Moor,VR - Biotopo Torbiera Egerter - Egerter Moor,"1.47",DPGP 342 23/04/1995,Bressanone,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
206,Lago Nero,Riserva Naturale Lago Nero,2,null,Capriana,null,www.parks.it/riserva.lago.nero,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
207,Biotopo Wangerau,Biotopo Wangerau,"4.3",DPGP 96 15/05/1981,Naturno,EUAP0435,www.parks.it/biotopo.wangerau,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
208,Passo del Broccon (IT3120092),Zona Speciale di Conservazione Passo del Broccon,345,null,"Castello Tesino, Cinte Tesino",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
209,Campi di Sotto - Unterackern,VR - Biotopo Campi di Sotto - Unterackern,"2.23",DPGP 184 7/10/1986,Vipiteno,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
210,Steinalmmoeser,VR - Biotopo Steinalmmoeser,"9.77",DPGP 219 3/01/1989,Brennero,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
211,Biotopo Tammerlemoos,Biotopo Tammerlemoos,"0.43",DPGP 311 3/03/1994,Meltina,EUAP0432,www.parks.it/biotopo.tammerlemoos,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
212,Sorgente Resenzuola (IT3120029),Zona Speciale di Conservazione Sorgente Resenzuola,"4.74",null,Grigno,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
213,Condino (IT3120101),Zona Speciale di Conservazione Condino,70,null,"Borgo Chiese, Castel Condino",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
214,Rete di Riserve Alta Val di Cembra - Avisio,Rete di Riserve Alta Val di Cembra - Avisio,"1900.00",null,"Altavalle, Capriana, Segonzano",null,www.parks.it/rete.riserve.alta.val.cembra.avisio,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
215,Foci dell'Avisio (IT3120053),Zona Speciale di Conservazione Foci dell'Avisio,135,null,"Lavis, Trento, Vallelaghi, Zambana",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
216,Rio dei Gamberi di Colsano - Galsauner Krebsbach,VR - Biotopo Rio dei Gamberi di Colsano - Galsauner Krebsbach,"0.27",DPGP 336 2/02/1995,Castelbello-Ciardes,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
217,Laghetti Soi,Riserva Locale Laghetti Soi,"0.22",null,Tenno,null,www.parks.it/riserva.laghetti,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
218,Lago di Mutta Riva Sud - Heidersee (Suedufer),VR - Biotopo Lago di Mutta Riva Sud - Heidersee (Suedufer),"7.39",DDPGP 308-309 4/02/1994,"Curon Venosta, Malles Venosta / Mals",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
219,Biotopo Lago di Caldaro (IT3110034),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Lago di Caldaro,241,null,Caldaro Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
220,Sole B,Riserva Locale Sole B,"1.75",null,Tione di Trento,null,www.parks.it/riserva.soleB,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
221,Oasi WWF Valtrigona,Oasi WWF Valtrigona,236,null,Telve,null,www.parks.it/oasi.valtrigona,"Via Po, 25/c - 00198 Roma (RM)",WWF Italia ONG-Onlus,TN,wwf@wwf.it
222,Paluda La Lot,Riserva Naturale Paluda La Lot,3,null,Altavalle,null,www.parks.it/riserva.paluda.la.lot,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
223,Laghetto di Vedes,Riserva Naturale Laghetto di Vedes,8,null,Altavalle,null,www.parks.it/riserva.laghetto.vedes,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
224,Gassermoor,VR - Biotopo Gassermoor,"0.62",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
225,Ramo vecchio del torrente Aurino - Altarm der Ahr,VR - Biotopo Ramo vecchio del torrente Aurino - Altarm der Ahr,"3.38",DPGP 136 27/04/1983,Gais,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
226,Lago di Favogna - Fennberger See,VR - Biotopo Lago di Favogna - Fennberger See,"10.1",DPGP 412 26/09/2000,Magrè Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
227,Palu' di Boniprati (IT3120066),Zona Speciale di Conservazione Palu' di Boniprati,11,null,Folgaria,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
228,Maso Cela,Riserva Locale Maso Cela,1,null,Carano,null,www.parks.it/riserva.maso.cela,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
229,Singermoos,VR - Biotopo Singermoos,"1.11",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
230,Palù delle Val,Riserva Locale Palù delle Val,"7.05",null,"Carano, Daiano",null,www.parks.it/riserva.palu.val,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
231,Biotopo Torbiera Tschingger - Tschinggermoor,Biotopo Torbiera Tschingger - Tschinggermoor,3,DPGP 299 17/08/1993,Nova Ponente,EUAP0434,www.parks.it/biotopo.torbiera.tschingger,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
232,Taio (Nomi-Volano),Biotopo Taio,"4.5",DGP 11599 6/10/1989,"Nomi, Volano",EUAP0507,www.parks.it/biotopo.taio,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
233,Bocca di Caset (IT3120096),Zona Speciale di Conservazione e Zona di Protezione Speciale Bocca di Caset,50,null,Ledro,null,www.parks.it/IT3120096,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
234,Lantschneiermoos,VR - Biotopo Lantschneiermoos,"0.47",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
235,Canzenagol (IT3120027),Zona Speciale di Conservazione Canzenagol,"3.39",null,Ziano di Fiemme,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
236,Biotopo Lago di Caldaro - Kalterer See,Biotopo Lago di Caldaro - Kalterer See,"241.14",DPGP 413 2/11/2000,Caldaro Strada del Vino,EUAP0571,www.parks.it/riserva.lago.caldaro,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
237,Sole A,Riserva Locale Sole A,"4.69",null,Tione di Trento,null,www.parks.it/riserva.soleA,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
238,Grante Moos,VR - Biotopo Grante Moos,"7.35",DGP 1245 19/04/2004,Campo di Trens,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
239,Carbonare (IT3120121),Zona Speciale di Conservazione Carbonare,12,null,Folgaria,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
240,Zona di Flora Protetta “Schoenleiten”,VR - Biotopo Zona di Flora Protetta “Schoenleiten”,"24.62",DPGP 296 2/03/1993,Cortaccia Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
241,Biotopo Adige Vecchio - Alte Etsch  (Colsano),RR Biotopo Adige Vecchio - Alte Etsch  (Colsano),"1.83",DPGP 336 2021995,Castelbello-Ciardes,EUAP0429,null,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
242,Valle Flanginech (IT3120109),Zona Speciale di Conservazione Valle Flanginech,"80.72",null,Giustino,null,www.parks.it/IT3120109,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
